window_index,time,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2,eta_harm,eta_grad,eta_curl,harm_curl_ratio,beta1_hodge,lambda1,spectral_gap
358,216300.0,7.557966530115434,3.4733023038099433,1.4084102887916228,0.1126817837357521,0.24153277277946472,0.006142348051071167,23.5,0.8,0.0,1.3571490728325991e-17,0.1073274995030578,0.8926725004969414,1.5203213631825425e-17,0.0,9.2984229831556,1.7453190025352303
359,216900.0,7.564019052978494,3.60906585823948,2.114887455292749,0.1126817837357521,0.26753732562065125,0.0036401748657226562,23.65,1.1,0.0,7.324702796383874e-18,0.03435416604092365,0.9656458339585662,7.5852890767927e-18,0.0,18.426590677485876,1.191592561627691
360,217500.0,7.551683559363159,3.843300444937752,2.337254610925333,0.10885079950094223,0.21693067252635956,0.011380314826965332,22.1,0.85,0.05,2.9379938144283448e-18,0.11213830422032701,0.8878616957796754,3.3090669733702586e-18,0.0,20.402073720586824,1.1567157521341975
361,218100.0,7.544774896408753,3.476342471641907,2.7085631636978995,0.09436921030282974,0.2786067947745323,0.013511627912521362,20.9,0.9,0.0,1.9956526406119004e-18,0.07272826011806563,0.9272717398818622,2.152176708053242e-18,0.0,22.67711177765497,1.0422735770337999
362,218700.0,7.526072839391946,3.465092769315031,1.9453311449160864,0.09632610529661179,0.20989246666431427,0.010962724685668945,20.25,0.75,0.0,3.8849842386947025e-19,0.03302430038497591,0.9669756996150237,4.01766480816156e-19,0.0,57.47089106697004,1.0720292009903012
363,219300.0,7.513252903956148,3.7120795136819353,3.133688530991778,0.09632610529661179,0.18811748921871185,0.008066654205322266,19.25,0.85,0.0,7.877490457063677e-20,0.04283502228914142,0.9571649777108636,8.230023705939485e-20,0.0,87.00808431204392,1.0366168783251957
364,219900.0,7.491604034582896,3.7652244791898353,2.574349822907864,0.13714779913425446,0.1494550108909607,0.007361173629760742,19.3,0.6,0.0,2.5404700661130287e-19,0.044452383815731855,0.9555476161842686,2.6586535543409946e-19,0.0,82.71993964330261,1.049822381246067
365,220500.0,7.481071974593506,3.6914812328665803,2.5887160406590475,0.14036861062049866,0.1779777705669403,0.0074682533740997314,20.7,0.55,0.05,4.111152527212229e-19,0.037164553479820006,0.9628354465201774,4.269839194294562e-19,0.0,47.95966430148325,1.0105601365706327
366,221100.0,7.5008972771346345,3.276915873313944,0.8773641488776215,0.14036861062049866,0.25140608847141266,0.006119489669799805,21.7,0.65,0.0,1.2365767548680006e-18,0.07280566303799103,0.9271943369620067,1.3336759140682043e-18,0.0,30.835204534265127,1.0569369558448622
367,221700.0,7.48863999877887,3.747439901225705,1.745690930964935,0.17418237030506134,0.24913598597049713,0.012823671102523804,23.2,0.9,0.15,1.2330846091513563e-18,0.05764812698857629,0.9423518730114223,1.308518234499335e-18,0.0,37.29980208096187,1.0288321529172717
368,222300.0,7.469883115709373,4.828499792726742,2.153637656025016,0.17527703940868378,0.1338360607624054,0.024304836988449097,25.55,1.25,0.1,3.1220345005239543e-19,0.024803921269350188,0.9751960787306505,3.2014428365877997e-19,0.0,50.223767854805715,1.0332543044804532
369,222900.0,7.481010249529186,5.195232548834412,3.4932997651657276,0.1637708842754364,0.10294206440448761,0.023055344820022583,27.3,1.45,0.05,7.114533605345098e-21,0.03628166091723675,0.96371833908276,7.382378561052526e-21,0.0,150.524369616574,1.018618457114221
370,223500.0,7.486013601584145,5.25462185219899,3.887956111969435,0.17860190570354462,0.1233876496553421,0.0230410099029541,26.4,1.5,0.1,1.3707338314329539e-21,0.010528076091001768,0.9894719239089891,1.3853185707547652e-21,0.0,174.4575999226943,1.0142122490175218
371,224100.0,7.4757920794243615,4.563132782239597,2.928348812206981,0.1518656313419342,0.13854575157165527,0.011408060789108276,22.8,0.9,0.0,1.7666232935895436e-21,0.031175128324926582,0.9688248716750741,1.8234702114255928e-21,0.0,173.456846249559,1.0120418227798025
372,224700.0,7.486512039631594,4.0102235890200575,3.2895336236293593,0.11054979264736176,0.145725317299366,0.015011265873908997,18.6,0.5,0.0,1.3912448716729056e-23,0.03525257397975951,0.9647474260129308,1.442081973124452e-23,0.0,194.99999999999997,1.0
373,225300.0,7.496038834419259,3.9263879286022236,3.217274462041953,0.08631965517997742,0.14003916829824448,0.008271604776382446,17.1,0.5,0.0,4.744654280309588e-31,0.021279456469879814,0.9787205435301397,4.847813108317194e-31,0.0,191.99999999999994,1.0000000000000002
374,225900.0,7.502157752527543,3.8593008409600977,3.1551183909839993,0.08280426263809204,0.1165357381105423,0.007934033870697021,16.75,0.55,0.0,1.8833167817216516e-20,0.022040018187546948,0.9779599818124519,1.9257605799261617e-20,0.0,171.11285591297244,1.0091000962170824
375,226500.0,7.467569994953312,3.4676072637231954,1.13284499917044,0.248365581035614,0.1276831030845642,0.0047705769538879395,18.1,0.6,0.0,3.730984401411433e-20,0.025948904430039926,0.9740510955699573,3.8303785277552105e-20,0.0,147.40531133766888,1.030364055447842
376,227100.0,7.4297354850487585,3.436433934015773,1.2515027570602093,0.22994086146354675,0.1530783474445343,0.04005837440490723,21.0,0.5,0.05,3.9773464168184026e-19,0.01681464258992871,0.9831853574100717,4.0453678310380555e-19,0.0,79.14615914483714,1.0471918107519813
377,227700.0,7.420777192955719,3.6181756619748695,2.5042364790501117,0.24002398550510406,0.1777084320783615,0.028775066137313843,23.8,0.65,0.1,1.9953420935979766e-18,0.06570781920016489,0.9342921807998344,2.1356724744155053e-18,0.0,36.077171283891396,1.0815131071260573
378,228300.0,7.416131579885545,3.9366373705712543,2.728820550060322,0.22994086146354675,0.19093090295791626,0.031353890895843506,23.25,0.7,0.15,1.892063983842045e-18,0.1068957309086409,0.8931042690913603,2.1185252935414842e-18,0.0,27.148870869284114,1.0786530395543579
