window_index,time_s,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2
238,144300.0,7.5643647594020464,3.35244372883716,2.211820498895318,0.05065570026636124,0.09705384820699692,0.004500351846218109,12.4,0.0,0.0
239,144900.0,7.5688873923803905,3.6621641104554556,1.733339676433782,0.04324349761009216,0.09182308614253998,0.004500351846218109,11.45,0.0,0.0
240,145500.0,7.5582907167919196,3.3695820905241836,1.6903742390296967,0.04324349761009216,0.07560959458351135,0.004500351846218109,11.0,0.0,0.0
241,146100.0,7.517737967259452,2.5692885236911622,1.3427592185833366,0.05556977540254593,0.14625327289104462,0.0022142231464385986,12.85,0.1,0.0
242,146700.0,7.509494862109713,2.0453268947418457,0.0,0.06641536206007004,0.18483486026525497,0.0027973055839538574,15.85,0.15,0.0
243,147300.0,7.559799392443119,2.4773279934203303,1.0538397155195403,0.06633249670267105,0.28649822622537613,0.00590062141418457,17.8,0.15,0.0
244,147900.0,7.5517760034323995,2.233976329891061,1.4199079712593838,0.06633249670267105,0.32238662987947464,0.00833982229232788,17.25,0.15,0.0
245,148500.0,7.5457416106719934,2.6185744395371353,1.5523315245234894,0.061603572219610214,0.1161426454782486,0.0014522522687911987,15.85,0.15,0.0
246,149100.0,7.551567185113161,3.498868571362883,0.701967431415923,0.05105878785252571,0.08669938147068024,0.0014522522687911987,14.15,0.05,0.0
247,149700.0,7.54664059023685,3.148962503289467,1.8822599705384382,0.04433959722518921,0.10750459879636765,0.011426389217376709,13.25,0.0,0.0
248,150300.0,7.546000579980584,3.361422400006938,2.597368369941362,0.041121769696474075,0.10951553657650948,0.005931258201599121,12.4,0.0,0.0
249,150900.0,7.544692988344609,3.57367643347868,0.9949499366336818,0.04502221569418907,0.11546173319220543,0.0029309839010238647,12.3,0.0,0.0
250,151500.0,7.543374141819344,3.663808654552657,1.1338725555516989,0.04502221569418907,0.10795421898365021,0.003460407257080078,12.2,0.0,0.0
251,152100.0,7.534365305695417,3.4258951719367263,2.234633225360574,0.04502221569418907,0.10278225690126419,0.009575560688972473,12.25,0.0,0.0
252,152700.0,7.524268395689821,3.1741367769244135,1.5536230498536663,0.047010637819767,0.12988337874412537,0.003476560115814209,12.45,0.1,0.0
253,153300.0,7.514045333664604,3.4771763938227913,0.0,0.047010637819767,0.09166619926691055,0.0004552602767944336,12.35,0.0,0.0
254,153900.0,7.529604047383606,3.5313992166688335,1.90986677883395,0.047010637819767,0.11217553913593292,0.00493544340133667,11.5,0.0,0.0
255,154500.0,7.549233441809124,3.6394170875170184,3.1332356096295744,0.04456456005573273,0.08201760053634644,0.0074071139097213745,10.6,0.0,0.0
256,155100.0,7.531063656480517,4.06955487247841,1.9293151437257274,0.05645352229475975,0.10388877987861633,0.01564165949821472,12.1,0.0,0.0
257,155700.0,7.526488105667103,4.223856263446223,2.3508634112702627,0.05663038045167923,0.09425817430019379,0.008451476693153381,14.7,0.0,0.0
258,156300.0,7.527520857024847,4.28033966164883,2.6202093443032495,0.05663038045167923,0.09199277311563492,0.008451476693153381,15.55,0.0,0.0
259,156900.0,7.512023528530217,4.0649255006623415,3.0617658697682804,0.05663038045167923,0.09377991408109665,0.0064662545919418335,14.7,0.0,0.0
260,157500.0,7.527281979236633,3.6761496859586105,2.43352993575327,0.05655970424413681,0.0813818871974945,0.004745453596115112,13.3,0.0,0.0
261,158100.0,7.552825928920067,3.1619440166800747,0.0,0.041364237666130066,0.13112716376781464,0.034148022532463074,12.55,0.05,0.0
262,158700.0,7.55211588722975,2.66315905144896,1.419369544271372,0.04283690080046654,0.2121310457587242,0.002137914299964905,12.75,0.05,0.0
263,159300.0,7.540177893438251,2.798158859892618,0.8452858739274698,0.04636809229850769,0.176716186106205,0.000857234001159668,12.75,0.05,0.0
264,159900.0,7.529644821951407,2.6994698011574,1.6571618029731787,0.05591064319014549,0.17704760283231735,0.010184675455093384,14.4,0.2,0.0
265,160500.0,7.540127098867589,3.172756479372419,3.277039430783373,0.06193545088171959,0.1940586268901825,0.01741325855255127,16.65,0.45,0.0
266,161100.0,7.564538143922674,3.3213911636808446,3.2077697463365107,0.06193545088171959,0.19044017791748047,0.026865899562835693,17.45,0.5,0.1
267,161700.0,7.554817105453154,3.96293359105427,2.9064836841244355,0.06193545088171959,0.11284986138343811,0.016187012195587158,16.75,0.3,0.05
268,162300.0,7.553757593839761,3.9454593300198018,3.2274788840577457,0.060456596314907074,0.10974011570215225,0.016187012195587158,15.6,0.1,0.0
269,162900.0,7.5611662613240656,3.6623928201601266,2.8864873044341186,0.05439669266343117,0.1356678158044815,0.013822302222251892,14.95,0.0,0.0
270,163500.0,7.567722412842808,4.085916369430966,3.1022358475644745,0.04460941627621651,0.08827013522386551,0.003000691533088684,14.0,0.0,0.0
271,164100.0,7.556707755070924,3.4070478431651914,2.0567676718041867,0.04472136124968529,0.13300850242376328,0.003000691533088684,12.5,0.0,0.0
272,164700.0,7.5505860140110705,3.080863745943201,2.8897053992073682,0.05441506952047348,0.16524594277143478,0.014475882053375244,12.5,0.05,0.0
273,165300.0,7.518411952312344,3.1184296012056967,3.3540798627528257,0.06589385122060776,0.13970686495304108,0.010982513427734375,13.4,0.4,0.0
274,165900.0,7.5080445221516285,3.358906026462211,1.984436277648145,0.06589385122060776,0.18830201774835587,0.010106146335601807,14.6,0.3,0.0
275,166500.0,7.528164230530237,3.5002053102585884,2.366386860776197,0.06547518819570541,0.1924412027001381,0.01035425066947937,16.15,0.25,0.0
276,167100.0,7.547229429530722,4.146641130016945,2.9197210675197978,0.06547518819570541,0.13932712376117706,0.02811610698699951,17.25,0.1,0.0
277,167700.0,7.560949928791737,4.149758770126737,3.7151873700982563,0.06443601101636887,0.15464921295642853,0.02690860629081726,17.95,0.1,0.0
278,168300.0,7.544424672672701,4.079886860192886,3.6390287328312874,0.06443601101636887,0.11673241853713989,0.00939960777759552,16.75,0.0,0.0
279,168900.0,7.529426870958041,3.688576721948625,2.7777298729204443,0.06237788125872612,0.1572321280837059,0.005807667970657349,14.35,0.0,0.0
280,169500.0,7.5561047638339724,3.4218292873777814,2.400735606172965,0.05229722708463669,0.11104055494070053,0.02424544095993042,12.7,0.0,0.0
281,170100.0,7.557303674941697,3.167390643947722,0.819535948676312,0.04497777298092842,0.12851862609386444,0.00177001953125,13.0,0.2,0.0
282,170700.0,7.56690731866963,2.8384567939588017,0.9261485805625812,0.04497777298092842,0.2103203758597374,0.007201582193374634,13.3,0.15,0.0
283,171300.0,7.555656462419572,3.1437871822562244,1.6702434685187408,0.04497777298092842,0.12056652456521988,0.004486292600631714,12.25,0.1,0.0
284,171900.0,7.555714544060534,3.272437160336281,2.1748009841862,0.04332435876131058,0.12517399340867996,0.00453852117061615,11.3,0.05,0.0
285,172500.0,7.535942433576246,3.6096977389045337,1.908281498348823,0.05928743630647659,0.12226278334856033,0.022258803248405457,11.8,0.0,0.0
286,173100.0,7.519197547030427,3.844531123202267,2.983117851987572,0.05955669656395912,0.12089948356151581,0.010638341307640076,13.9,0.0,0.0
287,173700.0,7.549154497895281,4.199092681144706,1.8861298969610671,0.05955669656395912,0.12213222309947014,0.0103788822889328,16.6,0.0,0.0
288,174300.0,7.563669695579177,4.425130163525548,2.6946042193527404,0.05996665731072426,0.10567203164100647,0.0103788822889328,17.7,0.0,0.0
289,174900.0,7.555760528783499,4.286078464708345,2.9874252290583936,0.05915234610438347,0.11250575259327888,0.008230343461036682,16.7,0.0,0.0
290,175500.0,7.544552669505092,4.40528917818534,2.908520818127954,0.053916603326797485,0.0793810598552227,0.007180266082286835,15.7,0.0,0.0
291,176100.0,7.537045469117509,4.09795949025082,2.586642215616387,0.06049793213605881,0.10676882416009903,0.005083829164505005,14.65,0.0,0.0
292,176700.0,7.51618394631328,3.988404094257609,2.7729954097973426,0.060827624052762985,0.08850663155317307,0.009269610047340393,14.5,0.0,0.0
293,177300.0,7.4984618465820745,3.7713754532507187,2.5055889543911762,0.060827624052762985,0.06840477138757706,0.021419718861579895,14.6,0.0,0.0
294,177900.0,7.483073019756783,2.7022802550802045,0.49796890429071017,0.060827624052762985,0.13055811077356339,0.01192481815814972,13.55,0.05,0.0
295,178500.0,7.5018018774726745,2.5745755331184816,1.0800412211542267,0.05011985823512077,0.1312105432152748,0.007847726345062256,13.25,0.05,0.0
296,179100.0,7.497872118719527,3.529654331436673,1.4734002544771556,0.0470956489443779,0.12312742322683334,0.035268232226371765,13.2,0.0,0.0
297,179700.0,7.53301356669825,3.720751854023206,0.6474404072884702,0.0470956489443779,0.13912692666053772,0.006728723645210266,13.35,0.0,0.0
298,180300.0,7.542028255760652,4.141243674018161,1.5029180103666884,0.060207974165678024,0.09184383600950241,0.005774401128292084,14.05,0.0,0.0
299,180900.0,7.549569932155726,4.363398410949097,2.8165661223305416,0.061131007969379425,0.10394324362277985,0.005774401128292084,15.25,0.0,0.0
300,181500.0,7.547882770583277,4.6138999707574175,2.481955092981095,0.061131007969379425,0.08676928281784058,0.007759615778923035,16.65,0.0,0.0
301,182100.0,7.534004665219264,4.310464269220979,2.81346390012047,0.061131007969379425,0.1065736934542656,0.010208755731582642,15.95,0.0,0.0
302,182700.0,7.538776876910231,3.6930523534015287,3.1778114663707338,0.061131007969379425,0.11732631921768188,0.00714738667011261,14.05,0.0,0.0
303,183300.0,7.554983403283945,2.5525300314436024,2.895909785923686,0.04334743320941925,0.1474258005619049,0.004633218050003052,11.6,0.05,0.0
304,183900.0,7.532434484202672,1.9812410607122597,1.7441296072389905,0.039949968457221985,0.21945729106664658,0.003054320812225342,11.5,0.05,0.0
305,184500.0,7.4503153789165495,2.104327636268224,0.5439014253283911,0.0774209275841713,0.152282252907753,0.007107943296432495,13.45,0.15,0.0
306,185100.0,6.743485094712489,2.683040736778326,0.0,0.5281770825386047,0.13007408380508423,0.0007764995098114014,34.25,0.1,0.0
307,185700.0,7.080265108753143,2.457073416736913,0.0,0.5672962069511414,0.5753824710845947,0.0007764995098114014,66.3,0.25,0.0
308,186300.0,7.412851504657233,2.1549222533583277,0.40764690049351665,0.6295625567436218,2.2134231328964233,0.007289409637451172,102.7,1.0,0.0
309,186900.0,7.54621502106311,2.839366601835399,1.269895786876286,0.6295625567436218,2.7782408595085144,0.11341977119445801,129.3,2.6,0.05
310,187500.0,7.580980333449368,3.9067881536239843,0.9741642607371211,0.6295625567436218,2.646804630756378,0.011976242065429688,140.4,2.05,0.0
311,188100.0,7.580297472031369,4.204629414584798,0.5820869008055615,0.5953251123428345,3.2713956236839294,0.03885293006896973,135.0,2.1,0.0
312,188700.0,7.559848315579353,4.303189782250717,0.0,0.5791364312171936,2.890744209289551,0.01822972297668457,122.35,1.9,0.0
