,Flowline Pressure,Flowline Temperature,BHP
2020-07-12 00:00:00,7.84161,21.5767,159.204
2020-07-12 00:00:10,7.85305,21.579,159.204
2020-07-12 00:00:20,7.86193,21.5814,159.204
2020-07-12 00:00:30,7.86764,21.5838,159.204
2020-07-12 00:00:40,7.87336,21.5862,159.205
2020-07-12 00:00:50,7.87908,21.5886,159.205
2020-07-12 00:01:00,7.88149,21.591,159.205
2020-07-12 00:01:10,7.87768,21.5933,159.205
2020-07-12 00:01:20,7.86597,21.5957,159.205
2020-07-12 00:01:30,7.83548,21.5981,159.205
2020-07-12 00:01:40,7.80969,21.6005,159.205
2020-07-12 00:01:50,7.79825,21.6029,159.205
2020-07-12 00:02:00,7.78309,21.6052,159.205
2020-07-12 00:02:10,7.7526,21.5887,159.205
2020-07-12 00:02:20,7.72155,21.553,159.205
2020-07-12 00:02:30,7.68726,21.5385,159.205
2020-07-12 00:02:40,7.65588,21.5504,159.205
2020-07-12 00:02:50,7.65207,21.5623,159.205
2020-07-12 00:03:00,7.64949,21.5742,159.205
2020-07-12 00:03:10,7.67236,21.5862,159.205
2020-07-12 00:03:20,7.69523,21.5981,159.205
2020-07-12 00:03:30,7.68582,21.5959,159.205
2020-07-12 00:03:40,7.6763,21.5601,159.205
2020-07-12 00:03:50,7.66677,21.5345,159.204
2020-07-12 00:04:00,7.65724,21.5396,159.205
2020-07-12 00:04:10,7.65454,21.5447,159.205
2020-07-12 00:04:20,7.65264,21.5498,159.205
2020-07-12 00:04:30,7.65073,21.5549,159.205
2020-07-12 00:04:40,7.64883,21.56,159.205
2020-07-12 00:04:50,7.65147,21.5651,159.205
2020-07-12 00:05:00,7.65528,21.5702,159.205
2020-07-12 00:05:10,7.71727,21.5753,159.205
2020-07-12 00:05:20,7.7687,21.5804,159.204
2020-07-12 00:05:30,7.80681,21.5855,159.204
2020-07-12 00:05:40,7.82031,21.5906,159.204
2020-07-12 00:05:50,7.82031,21.5957,159.204
2020-07-12 00:06:00,7.82031,21.6008,159.204
2020-07-12 00:06:10,7.78814,21.6059,159.204
2020-07-12 00:06:20,7.76305,21.5745,159.204
2020-07-12 00:06:30,7.74399,21.5387,159.204
2020-07-12 00:06:40,7.71255,21.5483,159.204
2020-07-12 00:06:50,7.66848,21.5662,159.204
2020-07-12 00:07:00,7.61496,21.584,159.204
2020-07-12 00:07:10,7.55973,21.6019,159.204
2020-07-12 00:07:20,7.54068,21.5798,159.204
2020-07-12 00:07:30,7.5238,21.5441,159.204
2020-07-12 00:07:40,7.52761,21.5363,159.203
2020-07-12 00:07:50,7.53281,21.5408,159.203
2020-07-12 00:08:00,7.5671,21.5452,159.203
2020-07-12 00:08:10,7.6014,21.5497,159.203
2020-07-12 00:08:20,7.62432,21.5542,159.203
2020-07-12 00:08:30,7.64718,21.5586,159.203
2020-07-12 00:08:40,7.64484,21.5631,159.203
2020-07-12 00:08:50,7.64102,21.5676,159.203
2020-07-12 00:09:00,7.63039,21.572,159.203
2020-07-12 00:09:10,7.61896,21.5765,159.203
2020-07-12 00:09:20,7.65443,21.581,159.203
2020-07-12 00:09:30,7.6985,21.5854,159.202
2020-07-12 00:09:40,7.71677,21.5899,159.202
2020-07-12 00:09:50,7.73201,21.5944,159.202
2020-07-12 00:10:00,7.74081,21.5988,159.202
2020-07-12 00:10:10,7.74844,21.6033,159.202
2020-07-12 00:10:20,7.74697,21.5959,159.202
2020-07-12 00:10:30,7.74316,21.5602,159.202
2020-07-12 00:10:40,7.72516,21.5419,159.202
2020-07-12 00:10:50,7.70229,21.5777,159.202
2020-07-12 00:11:00,7.68472,21.5995,159.202
2020-07-12 00:11:10,7.66948,21.5638,159.202
2020-07-12 00:11:20,7.65178,21.5384,159.202
2020-07-12 00:11:30,7.63272,21.5741,159.202
2020-07-12 00:11:40,7.62047,21.6048,159.202
2020-07-12 00:11:50,7.61285,21.5869,159.202
2020-07-12 00:12:00,7.62805,21.569,159.202
2020-07-12 00:12:10,7.66234,21.5512,159.202
2020-07-12 00:12:20,7.67592,21.5333,159.202
2020-07-12 00:12:30,7.6683,21.5687,159.202
2020-07-12 00:12:40,7.68099,21.6044,159.202
2020-07-12 00:12:50,7.7191,21.5727,159.202
2020-07-12 00:13:00,7.75872,21.537,159.202
2020-07-12 00:13:10,7.80064,21.5651,159.203
2020-07-12 00:13:20,7.8255,21.6009,159.203
2020-07-12 00:13:30,7.81788,21.6095,159.202
2020-07-12 00:13:40,7.81026,21.613,159.202
2020-07-12 00:13:50,7.80263,21.6166,159.202
2020-07-12 00:14:00,7.79128,21.6202,159.202
2020-07-12 00:14:10,7.76842,21.6238,159.202
2020-07-12 00:14:20,7.74482,21.6273,159.202
2020-07-12 00:14:30,7.71814,21.6309,159.202
2020-07-12 00:14:40,7.69806,21.6345,159.202
2020-07-12 00:14:50,7.71712,21.638,159.202
2020-07-12 00:15:00,7.73725,21.6416,159.202
2020-07-12 00:15:10,7.76774,21.6452,159.202
2020-07-12 00:15:20,7.79789,21.6488,159.202
2020-07-12 00:15:30,7.82075,21.6523,159.202
2020-07-12 00:15:40,7.84362,21.6559,159.201
2020-07-12 00:15:50,7.82102,21.6595,159.201
2020-07-12 00:16:00,7.79816,21.663,159.201
2020-07-12 00:16:10,7.7753,21.6666,159.201
2020-07-12 00:16:20,7.75243,21.6702,159.202
2020-07-12 00:16:30,7.7466,21.6738,159.202
2020-07-12 00:16:40,7.74279,21.6773,159.201
2020-07-12 00:16:50,7.75504,21.6801,159.201
2020-07-12 00:17:00,7.77028,21.6812,159.202
2020-07-12 00:17:10,7.80063,21.6823,159.202
2020-07-12 00:17:20,7.83493,21.6834,159.202
2020-07-12 00:17:30,7.86073,21.6845,159.202
2020-07-12 00:17:40,7.8836,21.6857,159.202
2020-07-12 00:17:50,7.9091,21.6868,159.202
2020-07-12 00:18:00,7.93578,21.6879,159.202
2020-07-12 00:18:10,7.93796,21.689,159.202
2020-07-12 00:18:20,7.92653,21.6901,159.202
2020-07-12 00:18:30,7.89928,21.6912,159.202
2020-07-12 00:18:40,7.86117,21.6924,159.202
2020-07-12 00:18:50,7.81459,21.6935,159.202
2020-07-12 00:19:00,7.76088,21.6946,159.202
2020-07-12 00:19:10,7.73625,21.6957,159.203
2020-07-12 00:19:20,7.71338,21.6968,159.203
2020-07-12 00:19:30,7.69052,21.6979,159.202
2020-07-12 00:19:40,7.66765,21.6991,159.202
2020-07-12 00:19:50,7.66728,21.7002,159.202
2020-07-12 00:20:00,7.67109,21.7013,159.202
2020-07-12 00:20:10,7.66885,21.7024,159.202
2020-07-12 00:20:20,7.66504,21.7035,159.202
2020-07-12 00:20:30,7.66689,21.7046,159.202
2020-07-12 00:20:40,7.6707,21.7057,159.201
2020-07-12 00:20:50,7.68244,21.7069,159.201
2020-07-12 00:21:00,7.69768,21.708,159.201
2020-07-12 00:21:10,7.70802,21.7091,159.201
2020-07-12 00:21:20,7.71564,21.7102,159.201
2020-07-12 00:21:30,7.72778,21.7113,159.201
